Customer ID,Recency,Frequency,Monetary,Cluster
12348.0,75,4,1797.24,3
12349.0,19,1,1757.5500000000002,3
12350.0,310,1,334.40000000000003,2
12352.0,36,8,2506.0400000000004,0
12353.0,204,1,89.0,2
12354.0,232,1,1079.3999999999999,2
12355.0,214,1,459.4,2
12356.0,23,3,2811.43,0
12358.0,2,2,1168.06,3
12360.0,52,3,2662.06,0
12361.0,287,1,189.89999999999998,2
12363.0,110,2,552.0,1
12364.0,8,4,1313.1000000000001,3
12365.0,291,2,641.3799999999999,2
12367.0,4,1,168.89999999999998,1
12370.0,51,4,3545.6899999999996,0
12371.0,45,2,1887.96,3
12372.0,72,3,1298.0400000000002,3
12373.0,311,1,364.6,2
12374.0,25,1,742.93,1
12375.0,11,2,457.5,1
12377.0,315,2,1628.12,2
12379.0,82,2,852.24,1
12380.0,22,4,2724.8100000000004,0
12381.0,5,5,1845.3100000000004,0
12383.0,185,5,1850.5600000000002,0
12384.0,29,2,585.2700000000001,1
12386.0,338,2,401.9,2
12388.0,16,6,2780.6600000000003,0
12390.0,80,1,549.84,1
12391.0,22,1,460.89,1
12393.0,72,4,1582.6000000000001,3
12394.0,64,2,1272.48,3
12397.0,36,2,2409.9000000000005,3
12398.0,46,1,1635.6599999999999,1
12399.0,119,4,1108.65,3
12401.0,303,1,84.3,2
12402.0,323,1,225.6,2
12403.0,50,1,427.7,1
12405.0,149,1,1710.3900000000003,1
12406.0,22,2,3415.3,0
12407.0,50,5,1708.1199999999997,3
12408.0,33,5,2888.55,0
12410.0,309,2,693.3299999999999,2
12412.0,75,3,1226.88,3
12413.0,67,3,758.1,3
12414.0,217,3,562.41,2
12418.0,113,1,668.58,1
12420.0,64,1,600.3900000000001,1
12421.0,16,4,807.0400000000001,3
12422.0,96,3,803.5599999999998,3
12423.0,1,8,1859.31,0
12424.0,163,2,1760.9599999999996,3
12425.0,78,1,777.1999999999999,1
12426.0,195,1,582.73,2
12427.0,22,3,825.8,3
12430.0,43,1,256.4,1
12434.0,85,2,806.14,1
12436.0,100,1,509.01000000000005,1
12438.0,14,2,2906.8500000000004,0
12441.0,367,1,173.55,2
12442.0,3,1,172.06,1
12445.0,22,1,133.4,1
12446.0,58,1,1002.3100000000001,1
12447.0,243,1,476.49,2
12448.0,44,1,449.4500000000001,1
12450.0,156,2,197.88,1
12452.0,17,2,430.57,1
12453.0,134,1,707.0899999999999,1
12454.0,56,1,3528.34,0
12455.0,73,6,2466.8599999999997,0
12456.0,44,3,3181.04,0
12457.0,66,7,2363.23,0
12458.0,71,2,947.4,1
12461.0,94,2,826.88,1
12462.0,19,2,1189.5900000000001,3
12463.0,53,4,1344.7800000000002,3
12464.0,10,8,1212.05,0
12465.0,17,2,742.19,1
12468.0,188,2,729.54,2
12475.0,54,1,723.3799999999999,1
12478.0,4,1,680.9900000000001,1
12479.0,11,1,527.2,1
12480.0,28,4,3281.6299999999997,0
12483.0,17,8,2484.98,0
12488.0,10,3,1298.6600000000003,3
12489.0,336,1,334.92999999999995,2
12491.0,39,1,460.40000000000003,1
12492.0,63,2,263.21,1
12493.0,166,2,433.74,2
12494.0,16,7,1246.1,0
12497.0,82,1,1043.1,1
12498.0,21,3,403.7,1
12501.0,337,1,2169.3900000000003,2
12504.0,18,2,482.04999999999995,1
12506.0,233,1,73.50000000000001,2
12507.0,134,3,1304.81,3
12508.0,26,2,398.27,1
12509.0,284,1,176.5,2
12510.0,143,2,982.5699999999999,1
12512.0,66,2,138.03,1
12513.0,113,1,612.2900000000001,1
12514.0,267,1,1017.6800000000001,2
12515.0,353,1,383.70000000000005,2
12516.0,78,2,1312.06,3
12517.0,28,5,2502.84,0
12518.0,1,5,2056.89,0
12519.0,64,1,340.84000000000003,1
12520.0,79,5,2634.26,0
12521.0,143,1,599.68,1
12522.0,39,2,192.72000000000003,1
12526.0,1,3,1316.6600000000003,3
12527.0,82,3,348.71000000000004,1
12528.0,9,6,1933.4800000000002,0
12530.0,60,4,1662.28,3
12531.0,15,1,125.22,1
12532.0,30,1,349.83000000000004,1
12534.0,131,1,1089.18,1
12535.0,92,2,716.35,1
12538.0,29,1,363.95,1
12541.0,30,3,981.1800000000002,3
12544.0,36,1,372.70000000000005,1
12545.0,75,2,1000.39,1
12546.0,47,2,1161.5,1
12547.0,198,2,207.8,2
12548.0,166,1,95.19999999999999,2
12550.0,79,1,964.83,1
12551.0,358,1,168.0,2
12552.0,39,2,437.82,1
12556.0,50,2,603.7099999999999,1
12558.0,8,1,269.96000000000004,1
12559.0,311,2,561.7099999999999,2
12560.0,5,3,2134.01,3
12561.0,303,1,238.85,2
12564.0,261,1,456.90000000000003,2
12565.0,289,1,145.92000000000002,2
12566.0,86,1,351.65,1
12571.0,40,2,519.61,1
12572.0,9,2,1020.42,1
12573.0,227,1,160.54,2
12574.0,316,1,218.45000000000002,2
12576.0,36,5,1315.83,3
12577.0,35,3,657.8,3
12578.0,21,2,2794.5099999999998,0
12579.0,78,1,440.41999999999996,1
12580.0,247,1,415.70000000000005,2
12581.0,40,1,197.70999999999998,1
12582.0,239,2,511.3599999999999,2
12585.0,234,2,2040.0999999999997,2
12586.0,17,1,196.94000000000003,1
12587.0,8,1,144.0,1
12588.0,39,1,214.89999999999998,1
12589.0,29,2,646.6800000000001,1
12591.0,317,1,452.84999999999997,2
12592.0,92,2,437.6,1
12593.0,109,3,418.0999999999999,1
12596.0,51,2,618.27,1
12598.0,10,8,3023.08,0
12599.0,29,7,1032.5800000000004,3
12601.0,190,5,577.0600000000001,3
12602.0,59,1,153.12,1
12603.0,22,1,739.1999999999999,1
12604.0,79,2,254.17999999999998,1
12607.0,60,1,1579.51,1
12609.0,78,3,1126.8500000000001,3
12610.0,23,5,2099.54,0
12611.0,52,1,1193.32,1
12612.0,74,1,704.04,1
12613.0,57,5,3344.38,0
12614.0,278,1,315.59999999999997,2
12615.0,2,4,2291.1899999999996,0
12616.0,95,2,713.3,1
12617.0,29,1,355.53000000000003,1
12618.0,22,1,177.31,1
12620.0,15,3,1339.41,3
12622.0,232,1,180.09999999999997,2
12623.0,276,1,305.1,2
12624.0,106,2,641.13,1
12625.0,212,2,2683.82,0
12628.0,4,3,786.4599999999999,3
12630.0,10,2,1270.88,3
12631.0,57,1,640.5,1
12633.0,59,4,2163.98,0
12635.0,90,2,1689.1800000000003,3
12638.0,33,1,671.69,1
12639.0,239,1,486.1,2
12640.0,24,3,1174.58,3
12641.0,115,1,185.9,1
12642.0,25,3,1013.26,3
12643.0,128,6,3344.6399999999994,0
12644.0,130,1,477.90999999999997,1
12645.0,34,4,1775.1800000000003,3
12646.0,5,2,1346.97,3
12648.0,155,1,318.04999999999995,1
12649.0,107,3,623.51,1
12650.0,3,1,314.44,1
12651.0,335,1,114.0,2
12652.0,331,1,919.98,2
12653.0,149,2,2209.85,3
12654.0,11,5,601.9799999999999,3
12657.0,11,4,1643.18,3
12658.0,19,1,686.05,1
12659.0,30,1,91.68,1
12660.0,11,1,245.10000000000002,1
12665.0,325,1,63.0,2
12667.0,58,1,620.1300000000001,1
12669.0,151,3,2744.03,0
12670.0,10,5,2996.0500000000006,0
12672.0,330,1,225.9,2
12673.0,5,2,610.52,1
12674.0,39,4,1970.6000000000001,3
12676.0,25,6,1331.39,3
12679.0,59,4,1113.02,3
12680.0,1,4,880.8100000000002,3
12684.0,8,7,2283.63,0
12685.0,28,6,2863.08,0
12686.0,372,1,89.14,2
12689.0,26,2,1247.61,3
12690.0,206,1,389.01,2
12691.0,28,6,1035.8,3
12693.0,127,4,855.91,3
12694.0,70,2,869.67,1
12695.0,7,4,582.1,3
12697.0,29,3,957.5899999999999,3
12701.0,80,2,797.71,1
12702.0,20,1,219.0,1
12703.0,71,1,283.55,1
12704.0,7,8,2340.8399999999997,0
12707.0,292,1,603.42,2
12710.0,97,3,1149.0200000000002,3
12713.0,1,1,848.5500000000001,1
12715.0,106,1,353.85999999999996,1
12716.0,4,2,1053.4900000000002,1
12717.0,151,2,1030.98,1
12718.0,71,1,238.25,1
12719.0,5,2,644.95,1
12721.0,32,6,2656.13,0
12722.0,85,4,997.6300000000001,3
12723.0,4,5,725.07,3
12724.0,5,4,1031.4099999999999,3
12725.0,371,1,427.8,2
12726.0,28,7,2609.1,0
12728.0,71,4,836.3299999999999,3
12729.0,114,1,453.01000000000005,1
12732.0,180,1,236.26000000000005,2
12733.0,234,1,383.95000000000005,2
12734.0,353,1,110.39999999999999,2
12735.0,315,2,779.57,2
12736.0,333,1,234.00000000000003,2
12738.0,372,1,155.35,2
12739.0,78,2,1013.0400000000001,1
12740.0,64,1,427.59999999999997,1
12743.0,134,2,546.4300000000001,1
12750.0,129,1,275.88,1
12754.0,236,3,3010.7400000000002,0
12756.0,87,1,112.08000000000001,1
12758.0,117,2,2791.59,0
12759.0,52,3,1531.4400000000003,3
12762.0,8,2,1898.5200000000004,3
12763.0,138,2,494.08000000000004,1
12764.0,317,1,1693.88,2
